"","Identifiant","Num_Commande","Montant","DateCreation","Date_Mis_À_Jour","Identifiant_Utilisateur","Paiment","Id_Adresse","typeCommande","Identifiant-2","Date_Creation-2","Prenom","Nom","Identifiant-3","id_Produit","id_StatutProduit","idOrder","Quantite","Date_Creation-3","Montant_Article_Commandé","Bank_Charge","Mode_Transport","Pays","MethodeTransport","Largeur","Longueur","Profondeur","Identifiant-4","Nom1","Identifiant-5","Nom_Produit","Prix_Produit","Devise","Description","Couleur","Taille","Date_Creation-4","idcat2","FraisExpe","DaviseFraisE","colorsNull","Mode_Transport-2","Ville","oder_id2","Annee","Mois","Semaine","Jour","Jour_de_la_semaine","Jours"
"1",774,"SMA12411",54700,2023-07-12,2023-07-12,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",871,5502,33,774,1,2023-07-12,64.1,6.41,"groupage","france","avion",10,50,10,1,"OUVERT",5502,"find. Derbys Femme",64.1,"EUR","find. Derbys Femme","Beige Chaud Taupe","36 EU",2023-07-12,"NULL",12.82,"EUR","[]","avion","dakar",774,"2023",7,"mercredi","12","mercredi",12
"2",773,"SMA12410",760400,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",869,5500,13,773,1,2023-06-19,30.99,3.099,"groupage","france","avion",10,50,10,1,"OUVERT",5500,"GRACE KARIN Femme Robe de Plage à Bretelles Robe élégante de Vacances",30.99,"EUR","GRACE KARIN Femme Robe de Plage à Bretelles Robe élégante de Vacances","Gris Vert","XL",2023-06-19,"NULL",12,"EUR","[]","avion","guele tapee",773,"2023",6,"lundi","19","lundi",19
"3",773,"SMA12410",760400,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",870,5501,9,773,1,2023-06-19,856.25,85.625,"groupage","france","avion",4.55,4.55,1.04,1,"OUVERT",5501,"Amazfit GTR 3 Pro Montre",856.25,"EUR","Amazfit GTR 3 Pro Montre","Argent","N/A",2023-06-19,"NULL",171.25,"EUR","[]","avion","guele tapee",773,"2023",6,"lundi","19","lundi",19
"4",772,"SMA12409",65500,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",868,5499,9,772,1,2023-06-19,35.95,3.595,"groupage","france","avion",10,50,10,2,"FERME",5499,"Levi's Housemark Polo T-Shirt Homme",35.95,"EUR","Levi's Housemark Polo T-Shirt Homme","Vert (Seagrass Heather B6802)","S",2023-06-19,"NULL",12,"EUR","[]","avion","guele tapee",772,"2023",6,"lundi","19","lundi",19
"5",772,"SMA12409",65500,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",867,5498,9,772,1,2023-06-19,32.95,3.295,"groupage","france","avion",10,50,10,2,"FERME",5498,"PUMA Smash WNS V2 L, Sneaker Basse Femme",32.95,"EUR","PUMA Smash WNS V2 L, Sneaker Basse Femme","White","40 EU",2023-06-19,"NULL",12,"EUR","[]","avion","guele tapee",772,"2023",6,"lundi","19","lundi",19
"6",771,"SMA12408",1250600,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",864,5495,12,771,1,2023-06-19,34.99,3.499,"groupage","france","avion",30.02,18.01,40.01,2,"FERME",5495,"Eastpak Padded Pak'r Sac à&nbsp;Dos, 40 cm, 24 L, Noir (Black)",34.99,"EUR","Eastpak Padded Pak'r Sac à&nbsp;Dos, 40 cm, 24 L, Noir (Black)","Noir","N/A",2023-06-19,"NULL",457.224,"EUR","[]","avion","guele tapee",771,"2023",6,"lundi","19","lundi",19
"7",771,"SMA12408",1250600,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",866,5497,9,771,1,2023-06-19,84.9,8.49,"groupage","france","avion",0,0,0,2,"FERME",5497,"Rekkem Table de Pique Nique Pliante Blanc Rectangulaire 180 x 75 x 74 cm Acier 8 Places Rekkem",84.9,"EUR","Rekkem Table de Pique Nique Pliante Blanc Rectangulaire 180 x 75 x 74 cm Acier 8 Places Rekkem","N/A","N/A",2023-06-19,"NULL",156,"EUR","[]","avion","guele tapee",771,"2023",6,"lundi","19","lundi",19
"8",771,"SMA12408",1250600,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",865,5496,9,771,1,2023-06-19,856.25,85.625,"groupage","france","avion",4.55,4.55,1.04,2,"FERME",5496,"Amazfit GTR 3 Pro Montre",856.25,"EUR","Amazfit GTR 3 Pro Montre","Argent","N/A",2023-06-19,"NULL",171.25,"EUR","[]","avion","guele tapee",771,"2023",6,"lundi","19","lundi",19
"9",771,"SMA12408",1250600,2023-06-19,2023-06-19,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",863,5494,9,771,1,2023-06-19,32.95,3.295,"groupage","france","avion",10,50,10,2,"FERME",5494,"PUMA Smash WNS V2 L, Sneaker Basse Femme",32.95,"EUR","PUMA Smash WNS V2 L, Sneaker Basse Femme","White","40 EU",2023-06-19,"NULL",12,"EUR","[]","avion","guele tapee",771,"2023",6,"lundi","19","lundi",19
"10",770,"SMA12407",16900,2023-06-16,2023-06-16,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",862,5493,13,770,1,2023-06-16,12.39,1.239,"groupage","france","avion",10,50,10,1,"OUVERT",5493,"Onsoyours Robes Femmes Élégantes À Manches Longues Sexy Dos Nu Dentelle Robe Patchwork Décontractée Robe De Soirée Couleur Unie Mini Robe De Clubbing Cocktail",12.39,"EUR","Onsoyours Robes Femmes Élégantes À Manches Longues Sexy Dos Nu Dentelle Robe Patchwork Décontractée Robe De Soirée Couleur Unie Mini Robe De Clubbing Cocktail","N/A","N/A",2023-06-16,"NULL",12,"EUR","[]","avion","dakar",770,"2023",6,"vendredi","16","vendredi",16
